"No.","Time","Source","Destination","Protocol","Length","Info"
"38","0.315131","57.144.55.33","192.168.32.11","TCP","172","5222  >  50283 [PSH, ACK] Seq=109 Ack=1 Win=694 Len=106 TSval=4222141421 TSecr=892740325 [TCP PDU reassembled in 989]"
"39","0.315232","192.168.32.11","57.144.55.33","TCP","66","50283  >  5222 [ACK] Seq=1 Ack=215 Win=2029 Len=0 TSval=892740396 TSecr=4222141421"
"40","0.425577","192.168.32.11","57.144.55.33","TCP","114","50283  >  5222 [PSH, ACK] Seq=1 Ack=215 Win=2029 Len=48 TSval=892740507 TSecr=4222141421 [TCP PDU reassembled in 991]"
"41","0.425663","192.168.32.11","57.144.55.33","TCP","113","50283  >  5222 [PSH, ACK] Seq=49 Ack=215 Win=2029 Len=47 TSval=892740507 TSecr=4222141421 [TCP PDU reassembled in 991]"
"42","0.483572","57.144.55.33","192.168.32.11","TCP","66","5222  >  50283 [ACK] Seq=215 Ack=49 Win=694 Len=0 TSval=4222141590 TSecr=892740507"
"43","0.483579","57.144.55.33","192.168.32.11","TCP","66","5222  >  50283 [ACK] Seq=215 Ack=96 Win=694 Len=0 TSval=4222141590 TSecr=892740507"
"44","0.526245","35.190.80.1","192.168.32.11","TLSv1.3","139","Application Data"
"45","0.526397","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=2917 Ack=1269 Win=4094 Len=0"
"46","0.526893","192.168.32.11","35.190.80.1","TLSv1.3","93","Application Data"
"47","0.526894","192.168.32.11","35.190.80.1","TLSv1.3","89","Application Data"
"48","0.529239","35.190.80.1","192.168.32.11","TLSv1.3","116","Application Data"
"49","0.529378","192.168.32.11","35.190.80.1","TCP","54","51130  >  443 [ACK] Seq=2991 Ack=1331 Win=4095 Len=0"
"50","0.529901","192.168.32.11","35.190.80.1","TLSv1.3","89","Application Data"
"51","0.538485","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1331 Ack=2956 Win=398 Len=0"
"52","0.538728","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1331 Ack=2991 Win=398 Len=0"
"53","0.538737","35.190.80.1","192.168.32.11","TCP","54","443  >  51130 [ACK] Seq=1331 Ack=3026 Win=398 Len=0"
"54","0.844366","192.168.32.11","172.64.155.209","TCP","54","51117  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"55","0.847540","172.64.155.209","192.168.32.11","TCP","54","[TCP ACKed unseen segment] 443  >  51117 [ACK] Seq=1 Ack=2 Win=626 Len=0"
"56","2.196806","192.168.32.11","162.159.36.1","TLSv1.2","263","Application Data"
"57","2.197547","192.168.32.11","162.159.36.1","TLSv1.2","263","Application Data"
"58","2.230484","162.159.36.1","192.168.32.11","TLSv1.2","514","Application Data"
"59","2.230488","162.159.36.1","192.168.32.11","TLSv1.2","534","Application Data"
"60","2.230611","192.168.32.11","162.159.36.1","TCP","54","50995  >  443 [ACK] Seq=210 Ack=461 Win=4088 Len=0"
"61","2.230677","192.168.32.11","162.159.36.1","TCP","54","50994  >  443 [ACK] Seq=210 Ack=481 Win=4088 Len=0"
"62","2.233665","192.168.32.11","162.159.46.1","TCP","78","51131  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2467937139 TSecr=0 SACK_PERM"
"63","2.236011","162.159.46.1","192.168.32.11","TCP","66","443  >  51131 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"64","2.236127","192.168.32.11","162.159.46.1","TCP","54","51131  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"65","2.237112","192.168.32.11","162.159.46.1","TLSv1.3","587","Client Hello (SNI=cloudflare-dns.com)"
"66","2.239160","162.159.46.1","192.168.32.11","TCP","54","443  >  51131 [ACK] Seq=1 Ack=534 Win=30336 Len=0"
"67","2.243620","192.168.32.11","108.158.251.84","TCP","78","51132  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2979084468 TSecr=0 SACK_PERM"
"68","2.249760","108.158.251.84","192.168.32.11","TCP","66","443  >  51132 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"69","2.249903","192.168.32.11","108.158.251.84","TCP","54","51132  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"70","2.250651","192.168.32.11","108.158.251.84","TCP","1514","51132  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 71]"
"71","2.250652","192.168.32.11","108.158.251.84","TLSv1.3","547","Client Hello (SNI=qjmnz4vd2y07.statuspage.io)"
"72","2.253425","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=1 Ack=1461 Win=32128 Len=0"
"73","2.255957","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=1 Ack=1954 Win=35072 Len=0"
"74","2.285099","162.159.46.1","192.168.32.11","TLSv1.3","306","Server Hello, Change Cipher Spec, Application Data"
"75","2.285287","192.168.32.11","162.159.46.1","TCP","54","51131  >  443 [ACK] Seq=534 Ack=253 Win=261888 Len=0"
"76","2.285959","192.168.32.11","162.159.46.1","TLSv1.3","134","Change Cipher Spec, Application Data"
"77","2.287738","192.168.32.11","162.159.46.1","TLSv1.3","264","Application Data"
"78","2.287941","162.159.46.1","192.168.32.11","TCP","54","443  >  51131 [ACK] Seq=253 Ack=614 Win=30336 Len=0"
"79","2.292359","162.159.46.1","192.168.32.11","TCP","54","443  >  51131 [ACK] Seq=253 Ack=824 Win=31360 Len=0"
"80","2.316007","162.159.46.1","192.168.32.11","TLSv1.3","1005","Application Data, Application Data"
"81","2.316096","192.168.32.11","162.159.46.1","TCP","54","51131  >  443 [ACK] Seq=824 Ack=1204 Win=261184 Len=0"
"82","2.345658","108.158.251.84","192.168.32.11","TLSv1.3","1376","Server Hello, Change Cipher Spec, Application Data, Application Data"
"83","2.346928","192.168.32.11","108.158.251.84","TCP","54","51132  >  443 [ACK] Seq=1954 Ack=1323 Win=260800 Len=0"
"84","2.357657","192.168.32.11","108.158.251.84","TLSv1.3","118","Change Cipher Spec, Application Data"
"85","2.357928","192.168.32.11","108.158.251.84","TLSv1.3","146","Application Data"
"86","2.358288","192.168.32.11","108.158.251.84","TLSv1.3","535","Application Data"
"87","2.359865","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=1323 Ack=2018 Win=35072 Len=0"
"88","2.359871","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=1323 Ack=2110 Win=35072 Len=0"
"89","2.360216","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=1323 Ack=2591 Win=38016 Len=0"
"90","2.381347","108.158.251.84","192.168.32.11","TLSv1.3","233","Application Data"
"91","2.381355","108.158.251.84","192.168.32.11","TLSv1.3","125","Application Data"
"92","2.381456","192.168.32.11","108.158.251.84","TCP","54","51132  >  443 [ACK] Seq=2591 Ack=1502 Win=261952 Len=0"
"93","2.381456","192.168.32.11","108.158.251.84","TCP","54","51132  >  443 [ACK] Seq=2591 Ack=1573 Win=261888 Len=0"
"94","2.381855","192.168.32.11","108.158.251.84","TLSv1.3","85","Application Data"
"95","2.392685","108.158.251.84","192.168.32.11","TLSv1.3","987","Application Data"
"96","2.392783","192.168.32.11","108.158.251.84","TCP","54","51132  >  443 [ACK] Seq=2622 Ack=2506 Win=261184 Len=0"
"97","2.393432","192.168.32.11","108.158.251.84","TLSv1.3","89","Application Data"
"98","2.436648","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=2506 Ack=2657 Win=38016 Len=0"
"99","2.602732","192.168.32.11","104.18.35.15","TCP","78","51133  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2181366031 TSecr=0 SACK_PERM"
"100","2.605966","104.18.35.15","192.168.32.11","TCP","66","443  >  51133 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"101","2.606114","192.168.32.11","104.18.35.15","TCP","54","51133  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"102","2.606890","192.168.32.11","104.18.35.15","TCP","1514","51133  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 103]"
"103","2.606891","192.168.32.11","104.18.35.15","TLSv1.2","416","Client Hello (SNI=api.coinbase.com)"
"104","2.609108","104.18.35.15","192.168.32.11","TCP","54","443  >  51133 [ACK] Seq=1 Ack=1823 Win=32896 Len=0"
"105","2.614333","104.18.35.15","192.168.32.11","TCP","54","443  >  51133 [FIN, ACK] Seq=1 Ack=1823 Win=32896 Len=0"
"106","2.614461","192.168.32.11","104.18.35.15","TCP","54","51133  >  443 [ACK] Seq=1823 Ack=2 Win=262144 Len=0"
"107","2.614666","192.168.32.11","104.18.35.15","TCP","54","51133  >  443 [FIN, ACK] Seq=1823 Ack=2 Win=262144 Len=0"
"108","2.615114","192.168.32.11","104.18.35.15","TCP","78","51134  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1796243344 TSecr=0 SACK_PERM"
"109","2.616543","104.18.35.15","192.168.32.11","TCP","54","443  >  51133 [ACK] Seq=2 Ack=1824 Win=32896 Len=0"
"110","2.617826","104.18.35.15","192.168.32.11","TCP","66","443  >  51134 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"111","2.617992","192.168.32.11","104.18.35.15","TCP","54","51134  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"112","2.618986","192.168.32.11","104.18.35.15","TCP","1514","51134  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 113]"
"113","2.618987","192.168.32.11","104.18.35.15","TLSv1.2","416","Client Hello (SNI=api.coinbase.com)"
"114","2.620620","104.18.35.15","192.168.32.11","TCP","54","443  >  51134 [ACK] Seq=1 Ack=1823 Win=32896 Len=0"
"115","2.623703","104.18.35.15","192.168.32.11","TCP","54","443  >  51134 [FIN, ACK] Seq=1 Ack=1823 Win=32896 Len=0"
"116","2.623823","192.168.32.11","104.18.35.15","TCP","54","51134  >  443 [ACK] Seq=1823 Ack=2 Win=262144 Len=0"
"117","2.623970","192.168.32.11","104.18.35.15","TCP","54","51134  >  443 [FIN, ACK] Seq=1823 Ack=2 Win=262144 Len=0"
"118","2.625977","104.18.35.15","192.168.32.11","TCP","54","443  >  51134 [ACK] Seq=2 Ack=1824 Win=32896 Len=0"
"119","2.630914","40.104.107.194","192.168.32.11","TLSv1.2","86","Application Data"
"120","2.630920","40.104.107.194","192.168.32.11","TLSv1.2","1172","Application Data, Application Data"
"121","2.631044","192.168.32.11","40.104.107.194","TCP","54","50489  >  443 [ACK] Seq=1 Ack=33 Win=4095 Len=0"
"122","2.631110","192.168.32.11","40.104.107.194","TCP","54","50489  >  443 [ACK] Seq=1 Ack=1151 Win=4078 Len=0"
"123","2.632598","40.104.122.210","192.168.32.11","TLSv1.2","86","Application Data"
"124","2.632602","40.104.122.210","192.168.32.11","TLSv1.2","1203","Application Data, Application Data, Application Data"
"125","2.632700","192.168.32.11","40.104.122.210","TCP","54","50485  >  443 [ACK] Seq=1 Ack=33 Win=4095 Len=0"
"126","2.632818","192.168.32.11","40.104.122.210","TCP","54","50485  >  443 [ACK] Seq=1 Ack=1182 Win=4096 Len=0"
"127","2.663008","192.168.32.11","104.18.35.15","TCP","78","51135  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2206545389 TSecr=0 SACK_PERM"
"128","2.668830","104.18.35.15","192.168.32.11","TCP","66","443  >  51135 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"129","2.668962","192.168.32.11","104.18.35.15","TCP","54","51135  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"130","2.669717","192.168.32.11","104.18.35.15","TCP","1514","51135  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 131]"
"131","2.669717","192.168.32.11","104.18.35.15","TLSv1.2","416","Client Hello (SNI=api.coinbase.com)"
"132","2.672069","104.18.35.15","192.168.32.11","TCP","54","443  >  51135 [ACK] Seq=1 Ack=1461 Win=32128 Len=0"
"133","2.672076","104.18.35.15","192.168.32.11","TCP","54","443  >  51135 [ACK] Seq=1 Ack=1823 Win=35072 Len=0"
"134","2.674765","104.18.35.15","192.168.32.11","TCP","54","443  >  51135 [FIN, ACK] Seq=1 Ack=1823 Win=35072 Len=0"
"135","2.674925","192.168.32.11","104.18.35.15","TCP","54","51135  >  443 [ACK] Seq=1823 Ack=2 Win=262144 Len=0"
"136","2.675230","192.168.32.11","104.18.35.15","TCP","54","51135  >  443 [FIN, ACK] Seq=1823 Ack=2 Win=262144 Len=0"
"137","2.676093","192.168.32.11","104.18.35.15","TCP","78","51136  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=100337906 TSecr=0 SACK_PERM"
"138","2.677798","104.18.35.15","192.168.32.11","TCP","54","443  >  51135 [ACK] Seq=2 Ack=1824 Win=35072 Len=0"
"139","2.678541","104.18.35.15","192.168.32.11","TCP","66","443  >  51136 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"140","2.678652","192.168.32.11","104.18.35.15","TCP","54","51136  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"141","2.679436","192.168.32.11","104.18.35.15","TCP","1514","51136  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 142]"
"142","2.679438","192.168.32.11","104.18.35.15","TLSv1.2","352","Client Hello (SNI=api.coinbase.com)"
"143","2.685858","192.168.32.11","104.18.35.15","TCP","1514","[TCP Retransmission] 51136  >  443 [PSH, ACK] Seq=299 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 142]"
"144","2.689465","104.18.35.15","192.168.32.11","TCP","54","443  >  51136 [ACK] Seq=1 Ack=1759 Win=32768 Len=0"
"145","2.689786","104.18.35.15","192.168.32.11","TCP","54","443  >  51136 [FIN, ACK] Seq=1 Ack=1759 Win=32768 Len=0"
"146","2.690062","192.168.32.11","104.18.35.15","TCP","54","51136  >  443 [ACK] Seq=1759 Ack=2 Win=262144 Len=0"
"147","2.690214","192.168.32.11","104.18.35.15","TCP","54","51136  >  443 [FIN, ACK] Seq=1759 Ack=2 Win=262144 Len=0"
"148","2.691192","104.18.35.15","192.168.32.11","TCP","66","[TCP Dup ACK 144#1] 443  >  51136 [ACK] Seq=2 Ack=1759 Win=32768 Len=0 SLE=299 SRE=1759"
"149","2.692274","104.18.35.15","192.168.32.11","TCP","54","443  >  51136 [ACK] Seq=2 Ack=1760 Win=32768 Len=0"
"150","2.894948","192.168.32.11","108.158.251.84","TLSv1.3","175","Application Data"
"151","2.898952","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=2506 Ack=2778 Win=38016 Len=0"
"152","2.926753","108.158.251.84","192.168.32.11","TLSv1.3","989","Application Data"
"153","2.926855","192.168.32.11","108.158.251.84","TCP","54","51132  >  443 [ACK] Seq=2778 Ack=3441 Win=261184 Len=0"
"154","2.928081","192.168.32.11","108.158.251.84","TLSv1.3","89","Application Data"
"155","2.928900","192.168.32.11","172.64.149.196","TCP","78","51137  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=594319213 TSecr=0 SACK_PERM"
"156","2.931482","172.64.149.196","192.168.32.11","TCP","66","443  >  51137 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"157","2.931646","192.168.32.11","172.64.149.196","TCP","54","51137  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"158","2.933620","192.168.32.11","172.64.149.196","TCP","1514","51137  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 159]"
"159","2.933621","192.168.32.11","172.64.149.196","TLSv1.2","391","Client Hello (SNI=api.wallet.coinbase.com)"
"160","2.935954","172.64.149.196","192.168.32.11","TCP","54","443  >  51137 [ACK] Seq=1 Ack=1461 Win=32128 Len=0"
"161","2.936324","172.64.149.196","192.168.32.11","TCP","54","443  >  51137 [ACK] Seq=1 Ack=1798 Win=35072 Len=0"
"162","2.942502","172.64.149.196","192.168.32.11","TCP","54","443  >  51137 [FIN, ACK] Seq=1 Ack=1798 Win=35072 Len=0"
"163","2.942728","192.168.32.11","172.64.149.196","TCP","54","51137  >  443 [ACK] Seq=1798 Ack=2 Win=262144 Len=0"
"164","2.943101","192.168.32.11","172.64.149.196","TCP","54","51137  >  443 [FIN, ACK] Seq=1798 Ack=2 Win=262144 Len=0"
"165","2.944233","192.168.32.11","172.64.149.196","TCP","78","51138  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3472339228 TSecr=0 SACK_PERM"
"166","2.947810","172.64.149.196","192.168.32.11","TCP","54","443  >  51137 [ACK] Seq=2 Ack=1799 Win=35072 Len=0"
"167","2.947815","172.64.149.196","192.168.32.11","TCP","66","443  >  51138 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"168","2.947959","192.168.32.11","172.64.149.196","TCP","54","51138  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"169","2.950079","192.168.32.11","172.64.149.196","TCP","1514","51138  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=1460 [TCP PDU reassembled in 170]"
"170","2.950081","192.168.32.11","172.64.149.196","TLSv1.2","423","Client Hello (SNI=api.wallet.coinbase.com)"
"171","2.954846","172.64.149.196","192.168.32.11","TCP","54","443  >  51138 [ACK] Seq=1 Ack=1830 Win=32896 Len=0"
"172","2.957654","172.64.149.196","192.168.32.11","TCP","54","443  >  51138 [FIN, ACK] Seq=1 Ack=1830 Win=32896 Len=0"
"173","2.957777","192.168.32.11","172.64.149.196","TCP","54","51138  >  443 [ACK] Seq=1830 Ack=2 Win=262144 Len=0"
"174","2.957958","192.168.32.11","172.64.149.196","TCP","54","51138  >  443 [FIN, ACK] Seq=1830 Ack=2 Win=262144 Len=0"
"175","2.959777","172.64.149.196","192.168.32.11","TCP","54","443  >  51138 [ACK] Seq=2 Ack=1831 Win=32896 Len=0"
"176","2.972671","108.158.251.84","192.168.32.11","TCP","54","443  >  51132 [ACK] Seq=3441 Ack=2813 Win=38016 Len=0"
"177","5.658147","0.0.0.0","224.0.0.1","IGMPv3","50","Membership Query, general"
"178","5.658518","fe80::a86e:84ff:fe33:c402","ff02::1","ICMPv6","90","Multicast Listener Query"
"179","5.743830","fe80::e862:1176:b470:c70e","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"180","5.743878","fe80::e862:1176:b470:c70e","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"181","5.760651","fe80::6841:74ff:fec4:d688","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"182","5.850455","104.18.39.21","192.168.32.11","TLSv1.2","78","Application Data"
"183","5.850645","192.168.32.11","104.18.39.21","TCP","54","50565  >  443 [ACK] Seq=1 Ack=25 Win=4095 Len=0"
"184","5.850875","192.168.32.11","104.18.39.21","TLSv1.2","82","Application Data"
"185","5.865309","104.18.39.21","192.168.32.11","TCP","54","443  >  50565 [ACK] Seq=25 Ack=29 Win=373 Len=0"
"186","5.966357","fe80::6095:3eff:fe1f:ba33","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"187","5.966364","192.168.32.10","224.0.0.22","IGMPv3","70","Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources / Join group 239.255.255.250 for any sources"
"188","5.966852","fe80::a86e:23ca:9d8a:3dee","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"189","6.070161","192.168.32.8","224.0.0.22","IGMPv3","70","Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources / Join group 239.255.255.250 for any sources"
"190","6.070447","fe80::fd0a:b1ee:2e3c:364a","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"191","6.163440","192.168.32.11","192.168.32.255","NBNS","92","Name query NB WORKGROUP<1d>"
"192","6.683758","192.168.32.3","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.251 for any sources / Join group 239.192.152.143 for any sources"
"193","10.164251","192.168.235.51","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"194","10.266560","192.168.235.51","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"195","13.544030","192.168.32.11","35.201.127.49","TCP","54","51098  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"196","13.551087","35.201.127.49","192.168.32.11","TCP","54","[TCP ACKed unseen segment] 443  >  51098 [ACK] Seq=1 Ack=2 Win=297 Len=0"
"197","14.071991","192.168.32.11","162.159.36.1","TLSv1.2","249","Application Data"
"198","14.120142","162.159.36.1","192.168.32.11","TCP","54","443  >  50995 [ACK] Seq=461 Ack=405 Win=388 Len=0"
"199","14.228636","162.159.36.1","192.168.32.11","TLSv1.2","423","Application Data"
"200","14.228771","192.168.32.11","162.159.36.1","TCP","54","50995  >  443 [ACK] Seq=405 Ack=830 Win=4090 Len=0"
"201","14.230693","192.168.32.11","34.149.46.130","ICMP","98","Echo (ping) request  id=0xda59, seq=0/0, ttl=64 (reply in 202)"
"202","14.256170","34.149.46.130","192.168.32.11","ICMP","98","Echo (ping) reply    id=0xda59, seq=0/0, ttl=116 (request in 201)"
"203","14.977976","35.201.127.49","192.168.32.11","TLSv1.2","78","Application Data"
"204","14.978209","192.168.32.11","35.201.127.49","TCP","54","50664  >  443 [ACK] Seq=1 Ack=25 Win=4096 Len=0"
"205","14.978436","192.168.32.11","35.201.127.49","TLSv1.2","82","Application Data"
"206","14.980532","35.201.127.49","192.168.32.11","TCP","54","443  >  50664 [ACK] Seq=25 Ack=29 Win=320 Len=0"
"207","15.235470","192.168.32.11","34.149.46.130","ICMP","98","Echo (ping) request  id=0xda59, seq=1/256, ttl=64 (reply in 208)"
"208","15.260327","34.149.46.130","192.168.32.11","ICMP","98","Echo (ping) reply    id=0xda59, seq=1/256, ttl=116 (request in 207)"
"209","15.327094","142.251.43.42","192.168.32.11","TLSv1.2","178","Application Data"
"210","15.327210","192.168.32.11","142.251.43.42","TCP","54","50934  >  443 [ACK] Seq=1 Ack=125 Win=4094 Len=0"
"211","15.329150","192.168.32.11","142.251.43.42","TLSv1.2","89","Application Data"
"212","15.329222","192.168.32.11","142.251.43.42","TLSv1.2","89","Application Data"
"213","15.331505","142.251.43.42","192.168.32.11","TCP","54","443  >  50934 [ACK] Seq=125 Ack=36 Win=639 Len=0"
"214","15.333495","142.251.43.42","192.168.32.11","TCP","54","443  >  50934 [ACK] Seq=125 Ack=71 Win=639 Len=0"
"215","16.236320","192.168.32.11","34.149.46.130","ICMP","98","Echo (ping) request  id=0xda59, seq=2/512, ttl=64 (reply in 216)"
"216","16.261305","34.149.46.130","192.168.32.11","ICMP","98","Echo (ping) reply    id=0xda59, seq=2/512, ttl=116 (request in 215)"
"217","17.240431","192.168.32.11","34.149.46.130","ICMP","98","Echo (ping) request  id=0xda59, seq=3/768, ttl=64 (reply in 218)"
"218","17.267003","34.149.46.130","192.168.32.11","ICMP","98","Echo (ping) reply    id=0xda59, seq=3/768, ttl=116 (request in 217)"
